id	size	ways	banks	ports	refill	replacement	perf_counter	figures	expected
c256k-w4-b4-p3-r0	256KB	4	4	3	none	none	hw	figure11	abort
c256k-w8-b2-p2-r0	256KB	8	2	2	none	none	hw	figure12,figure13	good
c256k-w8-b2-p3-r0	256KB	8	2	3	none	none	hw	figure12	good
c256k-w8-b4-p2-r0	256KB	8	4	2	none	none	hw	figure12	good
c256k-w8-b4-p3-r0	256KB	8	4	3	none	none	hw	figure11,figure12	good
c256k-w8-b4-p3-r0-plru	256KB	8	4	3	none	plru	hw	figure11	good
c256k-w16-b4-p3-r0	256KB	16	4	3	none	none	hw	figure11	good
c256k-w8-b2-p2-r1	256KB	8	2	2	read	none	hw	figure13	good
c512k-w4-b4-p3-r0	512KB	4	4	3	none	none	hw	figure11	good
c512k-w8-b2-p2-r0	512KB	8	2	2	none	none	hw	figure12,figure13	good
c512k-w8-b2-p3-r0	512KB	8	2	3	none	none	hw	figure12	good
c512k-w8-b4-p2-r0	512KB	8	4	2	none	none	hw	figure12	good
c512k-w8-b4-p3-r0	512KB	8	4	3	none	none	hw	figure11,figure12	good
c512k-w16-b4-p3-r0	512KB	16	4	3	none	none	hw	figure11	good
c512k-w8-b2-p2-r1	512KB	8	2	2	read	none	hw	figure13	good
c512k-w8-b2-p2-r1-sim	512KB	8	2	2	read	none	sim	figure14	good
c512k-w8-b4-p3-r1	512KB	8	4	3	read	none	sim	figure14	good
c1m-w4-b4-p3-r0	1MB	4	4	3	none	none	hw	figure11	good
c1m-w8-b2-p2-r0	1MB	8	2	2	none	none	hw	figure12,figure13	good
c1m-w8-b2-p3-r0	1MB	8	2	3	none	none	hw	figure12	good
c1m-w8-b4-p2-r0	1MB	8	4	2	none	none	hw	figure12	good
c1m-w8-b4-p3-r0	1MB	8	4	3	none	none	hw	figure11,figure12	good
c1m-w16-b4-p3-r0	1MB	16	4	3	none	none	hw	figure11	good
c1m-w8-b2-p2-r1	1MB	8	2	2	read	none	hw	figure13	good
c2m-w4-b4-p3-r0	2MB	4	4	3	none	none	hw	figure11	good
c2m-w8-b2-p2-r0	2MB	8	2	2	none	none	hw	figure12,figure13	good
c2m-w8-b2-p3-r0	2MB	8	2	3	none	none	hw	figure12	good
c2m-w8-b4-p2-r0	2MB	8	4	2	none	none	hw	figure12	good
c2m-w8-b4-p3-r0	2MB	8	4	3	none	none	hw	figure11,figure12	good
c2m-w16-b4-p3-r0	2MB	16	4	3	none	none	hw	figure11	good
c2m-w8-b2-p2-r1	2MB	8	2	2	read	none	hw	figure13	good
